,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
78,0 days 01:18:08.083000,27.5,69.4,1015.8,False,42.2,184,1.1
79,0 days 01:19:08.096000,27.5,69.6,1015.8,False,42.0,359,1.5
80,0 days 01:20:08.118000,27.7,69.6,1015.8,False,41.7,121,0.5
81,0 days 01:21:08.125000,27.8,67.9,1015.9,False,41.0,86,1.2
82,0 days 01:22:08.155000,27.8,67.2,1015.8,False,40.9,317,3.9
83,0 days 01:23:08.148000,27.8,67.5,1015.8,False,41.8,74,2.0
84,0 days 01:24:08.155000,27.8,67.4,1015.8,False,41.1,158,0.5
85,0 days 01:25:08.159000,27.8,66.5,1015.8,False,41.2,318,2.5
86,0 days 01:26:08.139000,27.9,67.2,1015.7,False,40.9,285,1.1
87,0 days 01:27:08.151000,27.9,68.1,1015.8,False,40.0,275,1.2
88,0 days 01:28:08.157000,27.9,67.1,1015.8,False,38.6,278,0.7
89,0 days 01:29:08.160000,27.9,67.5,1015.7,False,39.3,59,1.1
90,0 days 01:30:08.144000,27.9,68.5,1015.7,False,38.6,0,0.0
91,0 days 01:31:08.160000,27.9,68.8,1015.8,False,38.7,269,1.3
92,0 days 01:32:08.159000,27.9,67.6,1015.8,False,38.4,314,0.9
93,0 days 01:33:08.175000,27.8,67.8,1015.8,False,37.4,177,1.2
94,0 days 01:34:08.172000,27.8,68.0,1015.8,False,37.7,201,0.4
95,0 days 01:35:08.219000,27.7,67.8,1015.8,False,36.8,260,0.8
96,0 days 01:36:08.191000,27.5,68.2,1015.8,False,37.2,273,1.0
97,0 days 01:37:08.191000,27.5,68.6,1015.8,False,37.0,262,1.6
98,0 days 01:38:08.209000,27.6,68.6,1015.8,False,36.5,217,1.1
99,0 days 01:39:08.212000,27.5,69.2,1015.7,False,37.0,272,1.3
100,0 days 01:40:08.240000,27.5,68.8,1015.7,False,37.0,336,0.6
101,0 days 01:41:08.254000,27.5,68.7,1015.7,False,37.4,349,1.7
102,0 days 01:42:08.257000,27.6,67.9,1015.7,False,36.8,331,0.9
103,0 days 01:43:08.255000,27.6,68.5,1015.6,False,37.5,302,0.9
104,0 days 01:44:08.258000,27.7,67.4,1015.6,False,37.3,334,2.4
105,0 days 01:45:08.255000,27.8,67.4,1015.6,False,37.4,273,0.4
106,0 days 01:46:08.261000,27.8,66.9,1015.6,False,37.8,268,2.1
107,0 days 01:47:08.257000,27.8,66.9,1015.5,False,38.0,260,0.8
108,0 days 01:48:08.241000,27.8,66.8,1015.5,False,38.3,245,0.8
109,0 days 01:49:08.257000,27.9,66.4,1015.4,False,38.8,0,0.0
110,0 days 01:50:08.257000,27.9,66.6,1015.4,False,39.1,301,1.0
111,0 days 01:51:08.267000,28.0,66.6,1015.4,False,38.9,278,1.7
112,0 days 01:52:08.263000,27.9,67.0,1015.4,False,39.0,262,1.7
113,0 days 01:53:08.266000,27.9,66.8,1015.3,False,38.6,269,0.4
114,0 days 01:54:08.270000,27.9,67.0,1015.3,False,39.0,300,1.1
115,0 days 01:55:08.292000,28.0,66.6,1015.3,False,38.7,240,0.9
116,0 days 01:56:08.300000,27.9,67.1,1015.3,False,38.4,267,1.3
117,0 days 01:57:08.302000,27.8,67.0,1015.4,False,38.3,300,2.4
118,0 days 01:58:08.307000,27.8,68.3,1015.3,False,39.1,0,1.8
119,0 days 01:59:08.299000,27.9,67.7,1015.3,False,39.2,0,0.0
120,0 days 02:00:08.318000,28.0,66.7,1015.3,False,39.3,333,1.8
121,0 days 02:01:08.323000,27.9,67.4,1015.3,False,39.3,316,2.3
122,0 days 02:02:08.339000,27.9,65.9,1015.3,False,38.4,269,2.4
123,0 days 02:03:08.343000,27.9,66.7,1015.4,False,38.5,271,2.3
124,0 days 02:04:08.372000,27.9,67.3,1015.4,False,39.2,271,1.5
125,0 days 02:05:08.374000,28.0,67.7,1015.3,False,39.4,257,0.8
126,0 days 02:06:08.402000,28.0,67.7,1015.4,False,39.1,348,1.5
127,0 days 02:07:08.402000,28.1,67.6,1015.5,False,38.8,268,1.2
128,0 days 02:08:08.400000,28.1,67.4,1015.4,False,38.9,0,0.0
129,0 days 02:09:08.411000,28.1,67.1,1015.4,False,38.2,0,0.0
130,0 days 02:10:08.565000,28.1,67.2,1015.4,False,38.2,262,0.4
131,0 days 02:11:08.558000,27.9,67.5,1015.4,False,38.0,318,1.2
132,0 days 02:12:08.551000,28.0,67.3,1015.4,False,37.6,260,1.3
133,0 days 02:13:08.560000,27.9,67.9,1015.4,False,37.8,278,1.6
134,0 days 02:14:08.568000,27.8,68.6,1015.4,False,37.0,334,2.6
135,0 days 02:15:08.567000,27.8,68.2,1015.3,False,37.6,335,1.1
136,0 days 02:16:08.568000,27.6,68.1,1015.3,False,37.0,192,0.7
137,0 days 02:17:08.567000,27.8,67.4,1015.3,False,36.7,155,1.0
138,0 days 02:18:08.575000,27.7,67.6,1015.2,False,37.1,0,0.0
139,0 days 02:19:08.566000,27.7,68.1,1015.2,False,37.1,52,1.0
140,0 days 02:20:08.564000,27.8,68.4,1015.3,False,37.2,322,0.9
141,0 days 02:21:08.575000,27.8,68.2,1015.1,False,36.3,178,0.9
142,0 days 02:22:08.582000,27.7,68.8,1015.2,False,37.0,256,0.6
143,0 days 02:23:08.577000,27.8,68.9,1015.2,False,37.4,326,0.8
144,0 days 02:24:08.592000,27.8,68.2,1015.2,False,37.2,32,0.4
145,0 days 02:25:08.612000,27.5,68.2,1015.2,False,37.2,32,0.4
146,0 days 02:26:08.639000,27.8,68.3,1015.2,False,37.1,0,0.0
147,0 days 02:27:08.625000,27.8,68.4,1015.1,False,36.9,291,0.4
148,0 days 02:28:08.642000,27.8,68.1,1015.2,False,36.9,347,0.4
149,0 days 02:29:08.642000,27.7,68.2,1015.2,False,37.1,16,0.5
150,0 days 02:30:08.642000,27.7,68.1,1015.2,False,36.7,335,1.8
151,0 days 02:31:08.658000,27.6,69.4,1015.1,False,36.0,141,1.2
152,0 days 02:32:08.659000,27.5,70.7,1015.1,False,34.7,99,1.8
153,0 days 02:33:08.690000,27.4,73.0,1015.1,False,36.0,132,1.0
154,0 days 02:34:08.703000,27.4,72.7,1015.0,False,35.2,153,2.3
155,0 days 02:35:08.701000,27.2,73.9,1015.0,False,35.8,115,2.9
156,0 days 02:36:08.691000,27.1,74.2,1015.0,False,35.2,148,2.6
157,0 days 02:37:09.757000,27.0,74.4,1015.0,False,34.8,141,4.8
158,0 days 02:38:08.707000,26.9,74.5,1014.9,False,35.2,154,2.8
159,0 days 02:39:08.707000,26.9,75.0,1015.0,True,35.3,122,2.7
160,0 days 02:40:08.697000,26.9,74.8,1015.0,False,35.6,131,2.4
161,0 days 02:41:08.708000,27.0,74.2,1015.0,False,35.1,107,1.3
162,0 days 02:42:08.708000,26.9,74.0,1014.9,False,35.1,129,0.9
163,0 days 02:43:08.708000,26.9,72.8,1014.9,False,34.7,154,1.8
164,0 days 02:44:08.700000,26.9,73.6,1014.9,True,35.7,128,0.7
165,0 days 02:45:08.709000,27.0,73.6,1014.8,True,35.6,114,2.5
166,0 days 02:46:08.708000,27.0,73.8,1014.9,False,35.7,167,2.1
167,0 days 02:47:08.713000,27.0,74.0,1014.9,False,36.0,144,2.5
